Cum,Daily,deaths_cum,deaths_daily
16157,1131,1410,184
15026,763,1226,156
14263,1323,1070,190
12940,1348,880,208
11592,1655,672,156
9937,2073,516,177
7864,1929,339,87
5935,1231,252,61
4704,501,191,69
4203,933,122,40
3270,568,82,27
2702,836,55,14
1866,472,41,23
1394,491,18,6
903,188,12,4
715,206,8,2
509,193,6,0
316,135,6,2
181,56,4,1
125,24,3,0
101,23,3,2
78,29,1,0
49,3,1,0
46,14,1,1
32,4,0,0
28,10,0,0
18,2,0,0
16,4,0,0
12,6,0,0
6,2,0,0
4,1,0,0
3,1,0,0
2,1,0,0
1,1,0,0
